description,code,source,simple,n
 mutism  or  deaf mutism nos ,XE1AN,read3,hl,
 nerve injury   auditory cranial  or  eighth  or  acoustic  8th    or  traumatic deafness nos ,SJ15.,read3,hl,
 other and unspecified ear anomaly with hearing impaired  or  deafness due to congenital anomaly nec ,P40z.,read3,hl,
 v problems with hearing,ZV412,read2,hl,
 v problems with hearing,ZV412,read3,hl,
 x  dissociative anaesthesia and sensory loss     psychogenic deafness  ,Eu446,read3,hl,
 x deaf mutism  not elsewhere classified,FyuU0,read2,hl,
 x deaf mutism  not elsewhere classified,FyuU0,read3,hl,
 x malformation of ear with impairment of hearing  unspecified,Pyu1B,read2,hl,
 x malformation of ear with impairment of hearing  unspecified,Pyu1B,read3,hl,
 x other specified hearing loss,FyuU1,read2,hl,
 x other specified hearing loss,FyuU1,read3,hl,
absence of external ear nos    hearing impairment ,P40z0,read3,hl,
age related hearing loss,F5801,read3,hl,
alopecia  onychodysplasia  hypohidrosis  deafness ectodermal dysplasia,X50HE,read3,hl,
amyloid nephropathy with deafness and urticaria,C3734,read2,hl,
amyloid nephropathy with deafness and urticaria,C3734,read3,hl,
anomalies of ear causing impairment of hearing,7440,icd9,hl,
articulatory defect due to conductive hearing loss,E2F32,read2,hl,
articulatory defect due to conductive hearing loss,Xabxq,read3,hl,
articulatory impairment due to conductive hearing loss,E2F32,read2,hl,
articulatory impairment due to conductive hearing loss,Xabxq,read3,hl,
bilateral congenital sensorineural hearing loss,F591A,read2,hl,
bilateral congenital sensorineural hearing loss,XaaLg,read3,hl,
bilateral deafness,1C133,read2,hl,
bilateral deafness,1C133,read3,hl,
bilateral profound sensorineural hearing loss,F5919,read2,hl,
bilateral profound sensorineural hearing loss,XaaLf,read3,hl,
cd   conductive deafness,F590.,read3,hl,
central hearing loss,F5913,read2,hl,
central hearing loss,F5913,read3,hl,
chl   conductive hearing loss,F590.,read3,hl,
chronic deafness,F59z.,read2,hl,
chronic deafness,F59z.,read3,hl,
chronic deafness,X00kO,read3,hl,
cochlear hearing loss,F5911,read3,hl,
combined conductive hearing loss,F590y,read2,hl,
combined conductive hearing loss,F590y,read3,hl,
combined perceptive hearing loss,F591y,read2,hl,
combined perceptive hearing loss,F591y,read3,hl,
combined visual and hearing impairment,Fy1..,read2,hl,
combined visual and hearing impairment,XaYPJ,read3,hl,
conductive and sensorineural hearing loss,H90,icd10,hl,
conductive deafness,3890,icd9,hl,
conductive deafness,F590.,read2,hl,
conductive deafness,F590.,read3,hl,
conductive hearing loss,F590.,read2,hl,
conductive hearing loss,F590.,read3,hl,
conductive hearing loss  bilateral,H900,icd10,hl,
conductive hearing loss  bilateral,F5905,read2,hl,
conductive hearing loss  bilateral,F5905,read3,hl,
conductive hearing loss  unilateral with unrestricted hearing on the contralateral side,H901,icd10,hl,
conductive hearing loss  unilateral with unrestricted hearing on the contralateral side,F5906,read2,hl,
conductive hearing loss  unilateral with unrestricted hearing on the contralateral side,F5906,read3,hl,
conductive hearing loss  unspecified,H902,icd10,hl,
conductive hearing loss due to disorder of external ear,F5901,read2,hl,
conductive hearing loss due to disorder of external ear,F5901,read3,hl,
conductive hearing loss due to disorder of inner ear,F5904,read2,hl,
conductive hearing loss due to disorder of inner ear,F5904,read3,hl,
conductive hearing loss due to disorder of middle ear,F5903,read2,hl,
conductive hearing loss due to disorder of middle ear,F5903,read3,hl,
conductive hearing loss due to disorder of tympanic membrane,F5902,read2,hl,
conductive hearing loss due to disorder of tympanic membrane,F5902,read3,hl,
conductive hearing loss nos,F590z,read2,hl,
conductive hearing loss nos,F590z,read3,hl,
congenital malformation of ear causing impairment of hearing  unspecified,Q169,icd10,hl,
congenital malformations of ear causing impairment of hearing,Q16,icd10,hl,
congenital prelingual deafness,F5918,read2,hl,
congenital prelingual deafness,XaRE1,read3,hl,
congenital sensorineural deafness,F5914,read2,hl,
congenital sensorineural deafness,F5914,read3,hl,
dead ear,X75qM,read3,hl,
dead ear   postoperative,Xa0PN,read3,hl,
deaf blind telephone user,Ua0R8,read3,hl,
deaf mutism  nec,F593.,read2,hl,
deaf mutism  nec,F593.,read3,hl,
deaf mutism  not elsewhere classifiable,3897,icd9,hl,
deaf mutism  not elsewhere classified,H913,icd10,hl,
deaf mutism nos,XE1AN,read3,hl,
deafblind,Fy1..,read2,hl,
deafblind,XaYPJ,read3,hl,
deafened,F59A.,read2,hl,
deafened,XaRE5,read3,hl,
deafness,389,icd9,hl,
deafness,1C13.,read2,hl,
deafness,F59..,read2,hl,
deafness,1C13.,read3,hl,
deafness,F59..,read3,hl,
deafness,XE0s9,read3,hl,
deafness    symptom ,1C13.,read3,hl,
deafness   chronic  or  nos ,F59z.,read3,hl,
deafness   sensorineural  or  nerve  or  perceptive   diagnos ,XE1AL,read3,hl,
deafness   traumatic   nos,SJ15.,read2,hl,
deafness   traumatic   nos,SJ15.,read3,hl,
deafness due to congenital anomaly nec,P40z.,read2,hl,
deafness due to congenital anomaly nec,P40z.,read3,hl,
deafness due to congenital anomaly nec,X77tB,read3,hl,
deafness earpits syndrome,X00ke,read3,hl,
deafness nos,F59z.,read2,hl,
deafness nos,F59z.,read3,hl,
deafness nos,XE17P,read3,hl,
deafness or hearing loss,V192,icd10,hl,
deafness remedial therapy,8E3..,read2,hl,
deafness remedial therapy,8E3..,read3,hl,
deafness remedial therapy nos,8E3Z.,read2,hl,
deafness remedial therapy nos,8E3Z.,read3,hl,
deafness symptom,1C13.,read2,hl,
deafness symptom,1C13.,read3,hl,
deafness symptom,XM0Cb,read3,hl,
diabetes deafness syndrome maternally transmitted,X40JZ,read3,hl,
diabetes insipidus  diabetes mellitus  optic atrophy and deafness,PKyP.,read2,hl,
diabetes insipidus  diabetes mellitus  optic atrophy and deafness,X008t,read3,hl,
didmoad   diabetes insipidus diabetes mellitus  optic atrophy and deafness,X008t,read3,hl,
difficulty hearing,XE0s9,read3,hl,
difficulty hearing in noise,Xa0PZ,read3,hl,
difficulty hearing whispers,1C19.,read2,hl,
difficulty hearing whispers,XaIxN,read3,hl,
difficulty hearing with background noise,1C18.,read2,hl,
difficulty hearing with background noise,XaIxM,read3,hl,
dissociative deafness,E2012,read3,hl,
dominant sensorineural hearing loss,X00kR,read3,hl,
door   deafness  triphalangeal thumbs  onychodystrophy,PKyz8,read2,hl,
door   deafness  triphalangeal thumbs  onychodystrophy,X50I0,read3,hl,
drug ototoxicity   deafness,F5915,read2,hl,
drug ototoxicity   deafness,F5915,read3,hl,
drug ototoxicity   deafness,XM1QG,read3,hl,
dual sensory impairment   deafblind,Fy1..,read2,hl,
dual sensory impairment   deafblind,XaYPJ,read3,hl,
ear anomalies with hearing impaired  unspecified,P400.,read2,hl,
ear anomalies with hearing impaired  unspecified,P400.,read3,hl,
ear anomalies with hearing impairment,P40..,read2,hl,
ear anomalies with hearing impairment,P40..,read3,hl,
ear anomaly with hearing impaired nos,P40zz,read2,hl,
ear anomaly with hearing impaired nos,P40zz,read3,hl,
functional hearing loss,X00kW,read3,hl,
h o  hearing problem,1493,read2,hl,
h o  hearing problem,1493,read3,hl,
h o  impaired hearing,XaXeh,read3,hl,
hearing difficulty,1C12.,read2,hl,
hearing difficulty,1C12.,read3,hl,
hearing impaired,XE0s9,read3,hl,
hearing impairment,F5A..,read2,hl,
hearing impairment,XE0s9,read3,hl,
hearing loss,F59..,read2,hl,
hearing loss,F59..,read3,hl,
hearing loss,XE0s9,read3,hl,
hearing loss,XE1AD,read3,hl,
hearing loss     deafness  ,F59..,read3,hl,
hearing loss  unspecified,H919,icd10,hl,
hearing loss associated with syndrome,X00kX,read3,hl,
hearing problem,Xa7SQ,read3,hl,
hi   hearing impairment,XE0s9,read3,hl,
hid   hystrix ichthyosis with deafness syndrome,X78CP,read3,hl,
high frequency deafness,F591.,read2,hl,
high frequency deafness,F594.,read2,hl,
high frequency deafness,F591.,read3,hl,
high frequency deafness,X00kP,read3,hl,
history of impaired hearing,XaXeh,read3,hl,
hl   hearing loss,XE0s9,read3,hl,
hystrix ichthyosis with deafness,X78CP,read3,hl,
inner ear hearing loss,F5911,read3,hl,
keratitis ichthyosis and deafness syndrome,X50IK,read3,hl,
keratosis pilaris with ichthyosis and deafness,X50IO,read3,hl,
kids   keratitis ichthyosis and deafness syndrome,X50IK,read3,hl,
knuckle pads  leuconychia and deafness,X50Ir,read3,hl,
low frequency deafness,F591.,read2,hl,
low frequency deafness,F595.,read2,hl,
low frequency deafness,F591.,read3,hl,
low frequency deafness,X00kQ,read3,hl,
maternally inherited deafness,F596.,read2,hl,
maternally inherited deafness,XaOPs,read3,hl,
megaloblastic anaemia  thiamine responsive  with diabetes mellitus and sensorineural deafness,X40JW,read3,hl,
mhl   mixed hearing loss,F592.,read3,hl,
mild acquired hearing loss,F597.,read2,hl,
mild acquired hearing loss,XaRE2,read3,hl,
mild sensorineural hearing loss,F591D,read2,hl,
mild sensorineural hearing loss,XaZuF,read3,hl,
mixed conductive and sensorineural deafness,3892,icd9,hl,
mixed conductive and sensorineural deafness,F592.,read2,hl,
mixed conductive and sensorineural deafness,F592.,read3,hl,
mixed conductive and sensorineural hearing loss,F592.,read3,hl,
mixed conductive and sensorineural hearing loss  bilateral,H906,icd10,hl,
mixed conductive and sensorineural hearing loss  bilateral,F5921,read2,hl,
mixed conductive and sensorineural hearing loss  bilateral,F5921,read3,hl,
mixed conductive and sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,H907,icd10,hl,
mixed conductive and sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,F5920,read2,hl,
mixed conductive and sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,F5920,read3,hl,
mixed conductive and sensorineural hearing loss  unspecified,H908,icd10,hl,
mixed deafness,F592.,read3,hl,
mixed hearing loss,F592.,read2,hl,
mixed hearing loss,F592.,read3,hl,
moderate acquired hearing loss,F598.,read2,hl,
moderate acquired hearing loss,XaRE3,read3,hl,
moderate sensorineural hearing loss,F591C,read2,hl,
moderate sensorineural hearing loss,XaZuA,read3,hl,
nail dystrophy  deafness syndrome,X50Hr,read3,hl,
nerve deafness,F5912,read2,hl,
nerve deafness,F5912,read3,hl,
nerve deafness,XE1AL,read3,hl,
neural hearing loss,F5912,read2,hl,
neural hearing loss,F5912,read3,hl,
nihl   noise induced hearing loss,F5812,read3,hl,
nohl   non organic hearing loss,X00kW,read3,hl,
noise induced deafness,F5812,read2,hl,
noise induced hearing loss,F5812,read2,hl,
noise induced hearing loss,F5812,read3,hl,
non organic hearing loss,X00kW,read3,hl,
o e   completely deaf,2BL5.,read2,hl,
o e   completely deaf,2BL5.,read3,hl,
o e   conductive deaf,XE1jw,read3,hl,
o e   conductive deaf   tune fork  ,XE1jw,read3,hl,
o e   conductive deafness,2BM2.,read2,hl,
o e   conductive deafness,2BM2.,read3,hl,
o e   conductive deafness,XE1jw,read3,hl,
o e   deaf,2BL..,read2,hl,
o e   deaf,2BL..,read3,hl,
o e   deaf,XM1X8,read3,hl,
o e   deaf   conductive,XE1jw,read3,hl,
o e   deaf   perceptive,XE1jy,read3,hl,
o e   high tone deafness,2BM4.,read2,hl,
o e   high tone deafness,2BM4.,read3,hl,
o e   perceptive deaf   tune fork  ,XE1jy,read3,hl,
o e   perceptive deafness,2BM3.,read2,hl,
o e   perceptive deafness,2BM3.,read3,hl,
o e   perceptive deafness,XE1jy,read3,hl,
o e   significantly deaf,2BL3.,read2,hl,
o e   significantly deaf,2BL3.,read3,hl,
o e   slightly deaf,2BL2.,read2,hl,
o e   slightly deaf,2BL2.,read3,hl,
o e   very deaf,2BL4.,read2,hl,
o e   very deaf,2BL4.,read3,hl,
o e  tune fork conductive deaf,2BM2.,read2,hl,
o e  tune fork conductive deaf,2BM2.,read3,hl,
o e  tune fork conductive deaf,XE1jw,read3,hl,
o e hearing   tested 8th nerve  or  deaf ,2BL..,read3,hl,
o e tune fork perceptive deaf,2BM3.,read2,hl,
o e tune fork perceptive deaf,2BM3.,read3,hl,
o e tune fork perceptive deaf,XE1jy,read3,hl,
other and unspecified ear anomaly with hearing impaired,P40z.,read2,hl,
other and unspecified ear anomaly with hearing impaired,P40z.,read3,hl,
other and unspecified ear anomaly with hearing impaired,XE1K4,read3,hl,
other ear disorders   or hearing loss,XE1AD,read3,hl,
other external ear anomaly with hearing impairment,P402.,read2,hl,
other external ear anomaly with hearing impairment,P402.,read3,hl,
other external ear anomaly with hearing impairment nos,P402z,read2,hl,
other external ear anomaly with hearing impairment nos,P402z,read3,hl,
other hearing loss,H91,icd10,hl,
other specified forms of deafness,3898,icd9,hl,
other specified forms of hearing loss,F59y.,read2,hl,
other specified forms of hearing loss,F59y.,read3,hl,
other specified hearing loss,H918,icd10,hl,
ototoxic hearing loss,H910,icd10,hl,
ototoxicity   deafness,F5915,read2,hl,
ototoxicity   deafness,F5915,read3,hl,
ototoxicity   deafness,XE17O,read3,hl,
ototoxicity   deafness     drug  ,F5915,read3,hl,
partial deafness,1C132,read2,hl,
partial deafness,1C132,read3,hl,
pattern of hearing loss,X75Wh,read3,hl,
pd   perceptive deafness,XE17N,read3,hl,
perceptive deafness,F591.,read2,hl,
perceptive deafness,F591.,read3,hl,
perceptive deafness,XE17N,read3,hl,
perceptive deafness  diagnos ,XE1AL,read3,hl,
perceptive deafness o e,XE1jy,read3,hl,
perceptive hearing loss,F591.,read2,hl,
perceptive hearing loss,F591.,read3,hl,
perceptive hearing loss,XE17N,read3,hl,
perceptive hearing loss nos,F591z,read2,hl,
perceptive hearing loss nos,F591z,read3,hl,
perinatal sensorineural hearing loss,X00kU,read3,hl,
photomyoclonus  diabetes mellitus  deafness  nephropathy and cerebral dysfunction,X40JR,read3,hl,
postnatal acquired sensorineural hearing loss,X00kV,read3,hl,
postoperative profound sensorineural hearing loss,Xa0PN,read3,hl,
presbyacusis,F5801,read2,hl,
presbyacusis,F5801,read3,hl,
presbyacusis,XE1AH,read3,hl,
presbyacusis     senile   or other  ,XE1AH,read3,hl,
presbycusis,H911,icd10,hl,
presbycusis,F5801,read3,hl,
problems with hearing,V412,icd9,hl,
profound acquired hearing loss,F59A.,read2,hl,
profound acquired hearing loss,XaRE5,read3,hl,
profound sensorineural hearing loss,F591B,read2,hl,
profound sensorineural hearing loss,XaZuE,read3,hl,
provision for visual and hearing impairment,X74UF,read3,hl,
provision of communicator for visual and hearing impairment,X74UH,read3,hl,
provision of guide help for visual and hearing impairment,X74UG,read3,hl,
prune belly syndrome with pulmonic stenosis  mental retardation and deafness,X30Lf,read3,hl,
recessive sensorineural hearing loss,X00kT,read3,hl,
registered deaf,XaNDb,read3,hl,
registered hearing impaired,XaNFV,read3,hl,
renal tubular acidosis with progressive nerve deafness,K08y8,read2,hl,
renal tubular acidosis with progressive nerve deafness,X30Li,read3,hl,
requires deafblind block alphabet interpreter,9Nfb.,read2,hl,
requires deafblind block alphabet interpreter,XacJG,read3,hl,
requires deafblind communicator guide,9NfB.,read2,hl,
requires deafblind communicator guide,XaYB3,read3,hl,
requires deafblind haptic communication interpreter,9Nfc.,read2,hl,
requires deafblind haptic communication interpreter,XacJI,read3,hl,
requires deafblind manual alphabet interpreter,9Nfa.,read2,hl,
requires deafblind manual alphabet interpreter,XacJF,read3,hl,
retrocochlear hearing loss,F5912,read3,hl,
rubella deafness,A5602,read2,hl,
rubella deafness,A5602,read3,hl,
schneiders ooman test for deaf children,XM0iW,read3,hl,
senile other presbyacusis,XE1AH,read3,hl,
senile presbyacusis,F5801,read2,hl,
senile presbyacusis,XE1AH,read3,hl,
sensorineural deafness,3891,icd9,hl,
sensorineural deafness,XE17N,read3,hl,
sensorineural deafness,XE1AL,read3,hl,
sensorineural hearing loss,F591.,read2,hl,
sensorineural hearing loss,F591.,read3,hl,
sensorineural hearing loss,XE17N,read3,hl,
sensorineural hearing loss     deafness   high frequency  or  low frequency  ,F591.,read3,hl,
sensorineural hearing loss  bilateral,H903,icd10,hl,
sensorineural hearing loss  bilateral,F5916,read2,hl,
sensorineural hearing loss  bilateral,F5916,read3,hl,
sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,H904,icd10,hl,
sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,F5917,read2,hl,
sensorineural hearing loss  unilateral with unrestricted hearing on the contralateral side,F5917,read3,hl,
sensorineural hearing loss  unspecified,H905,icd10,hl,
sensory hearing loss,F5911,read2,hl,
sensory hearing loss,F5911,read3,hl,
sensory neural deafness,XE17N,read3,hl,
sensory neural hearing loss,XE17N,read3,hl,
severe acquired hearing loss,F599.,read2,hl,
severe acquired hearing loss,XaRE4,read3,hl,
severe sensorineural hearing loss,F591E,read2,hl,
severe sensorineural hearing loss,XaZuB,read3,hl,
simulated hearing loss,Xa0U4,read3,hl,
snd   sensorineural deafness,XE17N,read3,hl,
snhl   sensorineural hearing loss,XE17N,read3,hl,
sudden hearing loss  unspecified,3882,icd9,hl,
sudden idiopathic hearing loss,H912,icd10,hl,
suspected deafness,1J2..,read2,hl,
suspected deafness,1J2..,read3,hl,
syndromal deafness,X00kX,read3,hl,
unilateral deafness,1C131,read2,hl,
unilateral deafness,1C131,read3,hl,
unspecified conductive hearing loss,F5900,read2,hl,
unspecified conductive hearing loss,F5900,read3,hl,
unspecified deafness,3899,icd9,hl,
unspecified perceptive hearing loss,F5910,read2,hl,
unspecified perceptive hearing loss,F5910,read3,hl,
unspecified sudden hearing loss,F582.,read2,hl,
unspecified sudden hearing loss,F582.,read3,hl,
uses deafblind intervener,13o8J,read2,hl,
uses deafblind intervener,XacJE,read3,hl,
uses deafblind manual alphabet,13o8N,read2,hl,
uses deafblind manual alphabet,Xad2A,read3,hl,
word deafness,E2F30,read2,hl,
word deafness,E2F30,read3,hl,
word deafness,Ub1Ub,read3,hl,
word deafness,XE1Z4,read3,hl,
x linked sensorineural hearing loss,X00kS,read3,hl,
Paracusis of Willis,Xa0PY,read3,hl,
Obscure auditory dysfunction,X00kL,read3,hl,
